locale,code,name,descr
"bg","AD","Андора","Андора"
"bg","AE","Обединени арабски емирства","Обединени арабски емирства"
"bg","AF","Афганистан","Афганистан"
"bg","AG","Антигуа/Барбуда","Антигуа и Барбуда"
"bg","AI","Ангила","Ангила"
"bg","AL","Албания","Албания"
"bg","AM","Армения","Армения"
"bg","AO","Ангола","Ангола"
"bg","AQ","Антарктида","Антарктида"
"bg","AR","Аржентина","Аржентина"
"bg","AS","Самоа, Америка","Американска Самоа"
"bg","AT","Австрия","Австрия"
"bg","AU","Австралия","Австралия"
"bg","AW","Аруба","Аруба"
"bg","AX","Оландски острови","Оландски острови"
"bg","AZ","Азербайджан","Азербайджан"
"bg","BA","Босна-Херцегов.","Босна и Херцеговина"
"bg","BB","Барбадос","Барбадос"
"bg","BD","Бангладеш","Бангладеш"
"bg","BE","Белгия","Белгия"
"bg","BF","Буркина Фасо","Буркина Фасо"
"bg","BG","България","България"
"bg","BH","Бахрейн","Бахрейн"
"bg","BI","Бурунди","Бурунди"
"bg","BJ","Бенин","Бенин"
"bg","BL","Сен Бартелеми","Сен Бартелеми"
"bg","BM","Бермудски острови","Бермудски острови"
"bg","BN","Бруней Даруссалам","Бруней Даруссалам"
"bg","BO","Боливия","Боливия"
"bg","BQ","Бонер, Саба","Бонер, Синт Еустациус и Саба"
"bg","BR","Бразилия","Бразилия"
"bg","BS","Бахамски острови","Бахамски острови"
"bg","BT","Бутан","Бутан"
"bg","BV","Острови Буве","Острови Буве"
"bg","BW","Ботсвана","Ботсвана"
"bg","BY","Беларус","Беларус"
"bg","BZ","Белиз","Белиз"
"bg","CA","Канада","Канада"
"bg","CC","Острови Кийлинг","Кокосови острови (острови Кийлинг)"
"bg","CD","Дем. реп. Конго","Демократична република Конго"
"bg","CF","ЦАР","Централноафриканска република"
"bg","CG","Република Конго","Република Конго"
"bg","CH","Швейцария","Швейцария"
"bg","CI","Кот Д'Ивоар","Кот Д'Ивоар"
"bg","CK","Острови Кук","Острови Кук"
"bg","CL","Чили","Чили"
"bg","CM","Камерун","Камерун"
"bg","CN","Китай","Китай"
"bg","CO","Колумбия","Колумбия"
"bg","CR","Коста Рика","Коста Рика"
"bg","CV","Кабо Верде","Кабо Верде"
"bg","CW","Кюрасао","Кюрасао"
"bg","CX","Остров Рождество","Остров Рождество"
"bg","CY","Кипър","Кипър"
"bg","CZ","Чешка република","Чешка република"
"bg","DE","Германия","Германия"
"bg","DJ","Джибути","Джибути"
"bg","DK","Дания","Дания"
"bg","DM","Доминика","Доминика"
"bg","DO","Доминиканска република","Доминиканска република"
"bg","DZ","Алжир","Алжир"
"bg","EC","Еквадор","Еквадор"
"bg","EE","Естония","Естония"
"bg","EG","Египет","Египет"
"bg","EH","Западна Сахара","Западна Сахара"
"bg","ER","Еритрея","Еритрея"
"bg","ES","Испания","Испания"
