locale,code,name,descr
"el","AD","Ανδόρα","Ανδόρα"
"el","AE","Ηνωμ.Αραβ.Εμιρ.","Ηνωμένα Αραβικά Εμιράτα"
"el","AF","Αφγανιστάν","Αφγανιστάν"
"el","AG","Αντίγκουα/Μπαρμπούντα","Αντίγκουα και Μπαρμπούντα"
"el","AI","Ανγκουίλα","Ανγκουίλα"
"el","AL","Αλβανία","Αλβανία"
"el","AM","Αρμενία","Αρμενία"
"el","AO","Αγκόλα","Αγκόλα"
"el","AQ","Ανταρκτική","Ανταρκτική"
"el","AR","Αργεντινή","Αργεντινή"
"el","AS","Σαμόα, Αμερική","Αμερικανική Σαμόα"
"el","AT","Αυστρία","Αυστρία"
"el","AU","Αυστραλία","Αυστραλία"
"el","AW","Αρούμπα","Αρούμπα"
"el","AX","Νήσοι Ώλαντ","Νήσοι Ώλαντ"
"el","AZ","Αζερμπαϊτζάν","Αζερμπαϊτζάν"
"el","BA","Βοσνία-Ερζεγ.","Βοσνία και Ερζεγοβίνη"
"el","BB","Μπαρμπάντος","Μπαρμπάντος"
"el","BD","Μπαγκλαντές","Μπαγκλαντές"
"el","BE","Βέλγιο","Βέλγιο"
"el","BF","Μπουρκίνα Φάσο","Μπουρκίνα Φάσο"
"el","BG","Βουλγαρία","Βουλγαρία"
"el","BH","Μπαχρέιν","Μπαχρέιν"
"el","BI","Μπουρούντι","Μπουρούντι"
"el","BJ","Μπενίν","Μπενίν"
"el","BL","Άγιος Βαρθολομ.","Άγιος Βαρθολομαίος"
"el","BM","Βερμούδες","Βερμούδες"
"el","BN","Σουλτ.του Μπρουνέι","Σουλτανάτο του Μπρουνέι"
"el","BO","Βολιβία","Βολιβία"
"el","BQ","Μποναίρ, Σάμπα","Μποναίρ, Αγιος Ευστάθιος και Σάμπα"
"el","BR","Βραζιλία","Βραζιλία"
"el","BS","Μπαχάμες","Μπαχάμες"
"el","BT","Μπουτάν","Μπουτάν"
"el","BV","Νήσος Μπουβέ","Νήσος Μπουβέ"
"el","BW","Μποτσουάνα","Μποτσουάνα"
"el","BY","Λευκορωσία","Λευκορωσία"
"el","BZ","Μπελίζ","Μπελίζ"
"el","CA","Καναδάς","Καναδάς"
"el","CC","Νησιά Κήλινγκ","Νησιά Κόκος (Κήλινγκ)"
"el","CD","Λαϊκ.Δημ.Κονγκό","Λαϊκή Δημοκρατία του Κονγκό"
"el","CF","Κεντρ.Αφρ.Δημ.","Κεντροαφρικανική Δημοκρατία"
"el","CG","Δημ.του Κονγκό","Δημοκρατία του Κονγκό"
"el","CH","Ελβετία","Ελβετία"
"el","CI","Ακτή Ελεφαντοστού","Ακτή Ελεφαντοστού"
"el","CK","Νήσοι Κουκ","Νήσοι Κουκ"
"el","CL","Χιλή","Χιλή"
"el","CM","Καμερούν","Καμερούν"
"el","CN","Κίνα","Κίνα"
"el","CO","Κολομβία","Κολομβία"
"el","CR","Κόστα Ρίκα","Κόστα Ρίκα"
"el","CV","Πράσινο Ακρωτήριο","Πράσινο Ακρωτήριο"
"el","CW","Κουρασάο","Κουρασάο"
"el","CX","Νήσος Χριστουγέννων","Νήσος Χριστουγέννων"
"el","CY","Κύπρος","Κύπρος"
"el","CZ","Τσεχία","Τσεχία"
"el","DE","Γερμανία","Γερμανία"
"el","DJ","Τζιμπουτί","Τζιμπουτί"
"el","DK","Δανία","Δανία"
"el","DM","Ντομίνικα","Ντομίνικα"
"el","DO","Δομινικανή Δημ.","Δομινικανή Δημοκρατία"
"el","DZ","Αλγερία","Αλγερία"
"el","EC","Εκουαδόρ","Εκουαδόρ"
"el","EE","Εσθονία","Εσθονία"
"el","EG","Αίγυπτος","Αίγυπτος"
"el","EH","Δυτ.Σαχάρα","Δυτική Σαχάρα"
"el","ER","Ερυθραία","Ερυθραία"
"el","ES","Ισπανία","Ισπανία"
"el","ET","Αιθιοπία","Αιθιοπία"
"el","FI","Φινλανδία","Φινλανδία"
"el","FJ","Φίτζι","Φίτζι"
"el","FK","Νήσοι Φώκλαντ","Νήσοι Φώκλαντ"
"el","FM","Μικρονησία, Ομόσπονδες Πολιτείες της","Μικρονησία, Ομόσπονδες Πολιτείες της"
"el","FO","Νήσοι Φερόες","Νήσοι Φερόες"
"el","FR","Γαλλία","Γαλλία"
