locale,code,name,descr
"he","AD","אנדורה","אנדורה"
"he","AE","איחוד האמירויות","איחוד האמירויות הערביות"
"he","AF","אפגאניסטן","אפגאניסטן"
"he","AG","אנטיגואה/ברבודה","אנטיגואה וברבודה"
"he","AI","אנגווילה","אנגווילה"
"he","AL","אלבניה","אלבניה"
"he","AM","ארמניה","ארמניה"
"he","AO","אנגולה","אנגולה"
"he","AQ","אנטארקטיקה","אנטארקטיקה"
"he","AR","ארגנטינה","ארגנטינה"
"he","AS","סמואה, אמריקה","סמואה האמריקאית"
"he","AT","אוסטריה","אוסטריה"
"he","AU","אוסטרליה","אוסטרליה"
"he","AW","ארובה","ארובה"
"he","AX","איי אולנד","איי אולנד"
"he","AZ","אזרבייג'אן","אזרבייג'אן"
"he","BA","בוסניה-הרצגובינה","בוסניה והרצגובינה"
"he","BB","ברבדוס","ברבדוס"
"he","BD","בנגלדש","בנגלדש"
"he","BE","בלגיה","בלגיה"
"he","BF","בורקינה פאסו","בורקינה פאסו"
"he","BG","בולגריה","בולגריה"
"he","BH","בחריין","בחריין"
"he","BI","בורונדי","בורונדי"
"he","BJ","בנין","בנין"
"he","BL","סן ברתלמי","סן ברתלמי"
"he","BM","ברמודה","ברמודה"
"he","BN","ברוניי דארוסלאם","ברוניי דארוסלאם"
"he","BO","בוליביה","בוליביה"
"he","BQ","בונאייר, סאבא","בונאייר, סנט אוסטטיוס וסאבא"
"he","BR","ברזיל","ברזיל"
"he","BS","איי באהמה","איי באהמה"
"he","BT","בהוטן","בהוטן"
"he","BV","איי בובט","איי בובט"
"he","BW","בוטסואנה","בוטסואנה"
"he","BY","בלרוס","בלרוס"
"he","BZ","בליז","בליז"
"he","CA","קנדה","קנדה"
"he","CC","איי קילינג","איי קוקוס (קילינג)"
"he","CD","הרפובל.ה.ש.קונ.","הרפובליקה הדמוקרטית של קונגו"
"he","CF","CAR","הרפובליקה המרכז אפריקאית"
"he","CG","הרפובליקה של קונגו","הרפובליקה של קונגו"
"he","CH","שוויץ","שוויץ"
"he","CI","חוף השנהב","חוף השנהב"
"he","CK","איי קוק","איי קוק"
"he","CL","צ'ילה","צ'ילה"
"he","CM","קמרון","קמרון"
"he","CN","סין","סין"
"he","CO","קולומביה","קולומביה"
"he","CR","קוסטה ריקה","קוסטה ריקה"
"he","CV","כף ורדה","כף ורדה"
"he","CW","קוראסאו","קוראסאו"
"he","CX","איי חג המולד","איי חג המולד"
"he","CY","קפריסין","קפריסין"
"he","CZ","צ'כיה","הרפובליקה הצ׳כית"
"he","DE","גרמניה","גרמניה"
"he","DJ","ג'יבוטי","ג'יבוטי"
"he","DK","דנמרק","דנמרק"
"he","DM","דומיניקה","דומיניקה"
"he","DO","הרפובליקה הדומיניקנית","הרפובליקה הדומיניקנית"
"he","DZ","אלג'יריה","אלג'יריה"
"he","EC","אקוואדור","אקוואדור"
"he","EE","אסטוניה","אסטוניה"
"he","EG","מצרים","מצרים"
"he","EH","סהרה המערבית","סהרה המערבית"
"he","ER","אריתראה","אריתראה"
"he","ES","ספרד","ספרד"
"he","ET","אתיופיה","אתיופיה"
"he","FI","פינלנד","פינלנד"
"he","FJ","איי פיג'י","איי פיג'י"
"he","FK","איי פוקלנד","איי פוקלנד"
"he","FM","מיקרונזיה","מיקרונזיה"
"he","FO","איי פארו","איי פארו"
"he","FR","צרפת","צרפת"
"he","GA","גאבון","גאבון"
"he","GB","בריטניה","בריטניה"
"he","GD","גרנדה","גרנדה"
"he","GE","גרוזיה","גרוזיה"
"he","GF","גיניאה הצרפתית","גיאנה הצרפתית"
"he","GG","גרנזי","גרנזי (איי התעלה)"
"he","GH","גאנה","גאנה"
"he","GI","גיברלטר","גיברלטר"
"he","GL","גרינלנד","גרינלנד"
"he","GM","גמביה","גמביה"
"he","GN","גינאה","גינאה"
"he","GP","גוואדלופ","גוואדלופ"
"he","GQ","גינאה המשוונית","גינאה המשוונית"
"he","GR","יוון","יוון"
"he","GS","איי סנדביץ' הדרומיים","דרום גרוזיה ואיי סנדביץ' הדרומיים"
"he","GT","גוואטאמלה","גוואטאמלה"
"he","GU","גוואם","גוואם"
"he","GW","גינאה-ביסאו","גינאה-ביסאו"
"he","GY","גיאנה","גיאנה"
"he","HK","הונג קונג","הונג קונג"
"he","HM","איי הרד/מקדונלד","איי הרד ומקדונלד"
"he","HN","הונדורס","הונדורס"
"he","HR","קרואטיה","קרואטיה"
"he","HT","האיטי","האיטי"
"he","HU","הונגריה","הונגריה"
"he","ID","אינדונזיה","אינדונזיה"
"he","IE","אירלנד","אירלנד"
"he","IL","ישראל","ישראל"
"he","IM","האי מאן","האי מאן"
"he","IN","הודו","הודו"
