locale,code,name,descr
"ko","AD","안도라","안도라"
"ko","AE","아랍에미리트","아랍에미리트"
"ko","AF","아프가니스탄","아프가니스탄"
"ko","AG","앤티가 바부다","앤티가 바부다"
"ko","AI","앵귈라","앵귈라"
"ko","AL","알바니아","알바니아"
"ko","AM","아르메니아","아르메니아"
"ko","AO","앙골라","앙골라"
"ko","AQ","남극 대륙","남극 대륙"
"ko","AR","아르헨티나","아르헨티나"
"ko","AS","미국령 사모아","미국령 사모아"
"ko","AT","오스트리아","오스트리아"
"ko","AU","오스트레일리아","오스트레일리아"
"ko","AW","아루바","아루바"
"ko","AX","앨란드 제도","앨란드 제도"
"ko","AZ","아제르바이잔","아제르바이잔"
"ko","BA","보스니아 헤르체고비나","보스니아 헤르체고비나"
"ko","BB","바베이도스","바베이도스"
"ko","BD","방글라데시","방글라데시"
"ko","BE","벨기에","벨기에"
"ko","BF","부르키나파소","부르키나파소"
"ko","BG","불가리아","불가리아"
"ko","BH","바레인","바레인"
"ko","BI","부룬디","부룬디"
"ko","BJ","베냉","베냉"
"ko","BL","생바르텔르미 섬","생바르텔르미 섬"
"ko","BM","버뮤다","버뮤다"
"ko","BN","브루나이","브루나이"
"ko","BO","볼리비아","볼리비아"
"ko","BQ","보네르, 사바","보네르, 신트외스타티우스 및 사바"
"ko","BR","브라질","브라질"
"ko","BS","바하마","바하마"
"ko","BT","부탄","부탄"
"ko","BV","부베이 섬","부베이 섬"
"ko","BW","보츠와나","보츠와나"
"ko","BY","벨로루시","벨로루시"
"ko","BZ","벨리즈","벨리즈"
"ko","CA","캐나다","캐나다"
"ko","CC","킬링 제도","코코스(킬링) 제도"
"ko","CD","콩고 민주 공화국","콩고 민주 공화국"
"ko","CF","중앙 아프리카 공화국","중앙 아프리카 공화국"
"ko","CG","콩고 공화국","콩고 민주 공화국"
"ko","CH","스위스","스위스"
"ko","CI","코트디부아르","코트디부아르"
"ko","CK","쿡 제도","쿡 제도"
"ko","CL","칠레","칠레"
"ko","CM","카메룬","카메룬"
"ko","CN","중국","중국"
"ko","CO","콜롬비아","콜롬비아"
"ko","CR","코스타리카","코스타리카"
"ko","CV","카보베르데","카보베르데"
"ko","CW","쿠라카오","쿠라카오"
"ko","CX","크리스마스 섬","크리스마스 섬"
"ko","CY","키프로스","키프로스"
"ko","CZ","체코","체코"
"ko","DE","독일","독일"
"ko","DJ","지부티","지부티"
"ko","DK","덴마크","덴마크"
"ko","DM","도미니카","도미니카"
"ko","DO","도미니카 공화국","도미니카 공화국"
"ko","DZ","알제리","알제리"
"ko","EC","에콰도르","에콰도르"
"ko","EE","에스토니아","에스토니아"
"ko","EG","이집트","이집트"
"ko","EH","서사하라","서부 사하라"
"ko","ER","에리트레아","에리트레아"
"ko","ES","스페인","스페인"
"ko","ET","에티오피아","에티오피아"
"ko","FI","핀란드","핀란드"
"ko","FJ","피지","피지"
"ko","FK","포클랜드 제도","포클랜드 제도"
"ko","FM","미크로네시아","미크로네시아"
"ko","FO","페로 제도","페로 제도"
"ko","FR","프랑스","프랑스"
"ko","GA","가봉","가봉"
"ko","GB","영국","영국"
"ko","GD","그레나다","그레나다"
"ko","GE","그루지야","그루지야"
"ko","GF","프랑스령 기아나","프랑스령 기아나"
"ko","GG","건지","건지(채널 제도)"
"ko","GH","가나","가나"
"ko","GI","지브롤터","지브롤터"
"ko","GL","그린란드","그린란드"
"ko","GM","감비아","감비아"
"ko","GN","기니","기니"
"ko","GP","과들루프","과들루프"
"ko","GQ","적도 기니","적도 기니"
"ko","GR","그리스","그리스"
"ko","GS","사우스 샌드위치 제도","사우스 조지아 및 사우스 샌드위치 제도"
"ko","GT","과테말라","과테말라"
"ko","GU","괌","괌"
"ko","GW","기니비사우","기니비사우"
"ko","GY","가이아나","가이아나"
"ko","HK","홍콩","홍콩"
"ko","HM","허드 섬 및 맥도널드 제도","허드 섬 및 맥도널드 제도"
"ko","HN","온두라스","온두라스"
"ko","HR","크로아티아","크로아티아"
"ko","HT","아이티","아이티"
"ko","HU","헝가리","헝가리"
"ko","ID","인도네시아","인도네시아"
"ko","IE","아일랜드","아일랜드"
"ko","IL","이스라엘","이스라엘"
"ko","IM","맨 섬","맨 섬"
"ko","IN","인도","인도"
"ko","IO","영국령 인도양 식민지","영국령 인도양 식민지"
"ko","IQ","이라크","이라크"
"ko","IS","아이슬란드","아이슬란드"
"ko","IT","이탈리아","이탈리아"
"ko","JE","저지","저지"
"ko","JM","자메이카","자메이카"
"ko","JO","요르단","요르단"
"ko","JP","일본","일본"
"ko","KE","케냐","케냐"
"ko","KG","키르기스스탄","키르기스스탄"
"ko","KH","캄보디아","캄보디아"
"ko","KI","키리바시","키리바시"
"ko","KM","코모로","코모로"
"ko","KN","세인트 크리스토퍼 네비스","세인트 크리스토퍼 네비스"
"ko","KR","대한민국","대한민국"
"ko","KW","쿠웨이트","쿠웨이트"
"ko","KY","케이맨 제도","케이맨 제도"
"ko","KZ","카자흐스탄","카자흐스탄"
"ko","LA","라오스","라오스"
"ko","LB","레바논","레바논"
"ko","LC","세인트루시아","세인트루시아"
"ko","LI","리히텐슈타인","리히텐슈타인"
"ko","LK","스리랑카","스리랑카"
"ko","LR","라이베리아","라이베리아"
"ko","LS","레소토","레소토"
"ko","LT","리투아니아","리투아니아"
"ko","LU","룩셈부르크","룩셈부르크"
"ko","LV","라트비아","라트비아"
"ko","LY","리비아","리비아"
"ko","MA","모로코","모로코"
"ko","MC","모나코","모나코"
"ko","MD","몰도바","몰도바"
"ko","ME","몬테네그로","몬테네그로"
"ko","MF","생마르탱","세인트 마틴"
"ko","MG","마다가스카르","마다가스카르"
"ko","MH","마셜 제도","마셜 제도"
"ko","MK","북마케도니아","노스 마케도니아 공화국"
"ko","ML","말리","말리"
"ko","MM","미얀마","미얀마"
"ko","MN","몽골","몽골"
"ko","MO","중국 마카오","중국 마카오"
"ko","MP","북마리아나 제도","북마리아나 제도"
"ko","MQ","마르티니크","마르티니크"
"ko","MR","모리타니","모리타니"
"ko","MS","몬트세라트","몬트세라트"
"ko","MT","몰타","몰타"
"ko","MU","모리셔스","모리셔스"
"ko","MV","몰디브","몰디브"
"ko","MW","말라위","말라위"
"ko","MX","멕시코","멕시코"
"ko","MY","말레이시아","말레이시아"
"ko","MZ","모잠비크","모잠비크"
"ko","NA","나미비아","나미비아"
"ko","NC","뉴칼레도니아","뉴칼레도니아"
"ko","NE","니제르","니제르"
"ko","NF","노퍽 섬","노퍽 섬"
"ko","NG","나이지리아","나이지리아"
"ko","NI","니카라과","니카라과"
"ko","NL","네덜란드","네덜란드"
"ko","NO","노르웨이","노르웨이"
"ko","NP","네팔","네팔"
"ko","NR","나우루","나우루"
"ko","NU","니우에","니우에"
"ko","NZ","뉴질랜드","뉴질랜드"
"ko","OM","오만","오만"
"ko","PA","파나마","파나마"
"ko","PE","페루","페루"
"ko","PF","프랑스령 폴리네시아","프랑스령 폴리네시아"
"ko","PG","파푸아뉴기니","파푸아뉴기니"
"ko","PH","필리핀","필리핀"
"ko","PK","파키스탄","파키스탄"
"ko","PL","폴란드","폴란드"
"ko","PM","생피에르에 미클롱","생피에르에미클롱"
"ko","PN","핏케언 제도","핏케언 제도"
"ko","PR","푸에르토리코","푸에르토리코"
"ko","PS","팔레스타인","팔레스타인"
"ko","PT","포르투갈","포르투갈"
"ko","PW","팔라우","팔라우"
