locale,code,name,descr
"th","AD","อันดอร์รา","อันดอร์รา"
"th","AE","อาหรับเอมิเรตส์","สหรัฐอาหรับเอมิเรตส์"
"th","AF","อัฟกานิสถาน","อัฟกานิสถาน"
"th","AG","แอนทีกา/บาร์บิวดา","แอนทีกาและบาร์บิวดา"
"th","AI","แองกวิลลา","แองกวิลลา"
"th","AL","แอลเบเนีย","แอลเบเนีย"
"th","AM","อาร์เมเนีย","อาร์เมเนีย"
"th","AO","แองโกลา","แองโกลา"
"th","AQ","แอนตาร์กติกา","แอนตาร์กติกา"
"th","AR","อาร์เจนตินา","อาร์เจนตินา"
"th","AS","ซามัว อเมริกัน","อเมริกันซามัว"
"th","AT","ออสเตรีย","ออสเตรีย"
"th","AU","ออสเตรเลีย","ออสเตรเลีย"
"th","AW","อารูบา","อารูบา"
"th","AX","หมู่เกาะโอลันด์","หมู่เกาะโอลันด์"
"th","AZ","อาเซอร์ไบจาน","อาเซอร์ไบจาน"
"th","BA","บอสเนียและเฮอร์เซโกวีนา","บอสเนียและเฮอร์เซโกวีนา"
"th","BB","บาร์เบโดส","บาร์เบโดส"
"th","BD","บังกลาเทศ","บังกลาเทศ"
"th","BE","เบลเยียม","เบลเยียม"
"th","BF","บูร์กินาฟาโซ","บูร์กินาฟาโซ"
"th","BG","บัลแกเรีย","บัลแกเรีย"
"th","BH","บาห์เรน","บาห์เรน"
"th","BI","บุรุนดี","บุรุนดี"
"th","BJ","เบนิน","เบนิน"
"th","BL","แซ็งบาร์เตเลมี","แซ็งบาร์เตเลมี"
"th","BM","เบอร์มิวดา","เบอร์มิวดา"
"th","BN","บรูไนดารุสซาลาม","บรูไนดารุสซาลาม"
"th","BO","โบลิเวีย","โบลิเวีย"
"th","BQ","โบแนร์ ซาบา","โบแนร์ ซินท์เอิสทาทิอุส และซาบา"
"th","BR","บราซิล","บราซิล"
"th","BS","บาฮามาส","บาฮามาส"
"th","BT","ภูฏาน","ภูฏาน"
"th","BV","เกาะบูเว","เกาะบูเว"
"th","BW","บอตสวานา","บอตสวานา"
"th","BY","เบลารุส","เบลารุส"
"th","BZ","เบลีซ","เบลีซ"
"th","CA","แคนาดา","แคนาดา"
"th","CC","หมู่เกาะคีลิง","หมู่เกาะโคโคส (คีลิง)"
"th","CD","สาธารณรัฐประชาธิปไตยคองโก","สาธารณรัฐประชาธิปไตยคองโก"
"th","CF","สาธารณรัฐแอฟริกากลาง","สาธารณรัฐแอฟริกากลาง"
"th","CG","สาธารณรัฐคองโก","สาธารณรัฐคองโก"
"th","CH","สวิตเซอร์แลนด์","สวิตเซอร์แลนด์"
"th","CI","โกตดิวัวร์","โกตดิวัวร์"
"th","CK","หมู่เกาะคุก","หมู่เกาะคุก"
"th","CL","ชิลี","ชิลี"
"th","CM","แคเมอรูน","แคเมอรูน"
"th","CN","จีน","จีน"
"th","CO","โคลอมเบีย","โคลอมเบีย"
"th","CR","คอสตาริกา","คอสตาริกา"
"th","CV","เคปเวิร์ด","เคปเวิร์ด"
"th","CW","กูราเซา","กูราเซา"
"th","CX","เกาะคริสต์มาส","เกาะคริสต์มาส"
"th","CY","ไซปรัส","ไซปรัส"
