locale,code,name,descr
"uk","AD","Андорра","Андорра"
"uk","AE","Об’єднані Арабські Емірати","Об’єднані Арабські Емірати"
"uk","AF","Афганістан","Афганістан"
"uk","AG","Антигуа/Барбуда","Антигуа і Барбуда"
"uk","AI","Ангілья","Ангілья"
"uk","AL","Албанія","Албанія"
"uk","AM","Вірменія","Вірменія"
"uk","AO","Ангола","Ангола"
"uk","AQ","Антарктида","Антарктида"
"uk","AR","Аргентина","Аргентина"
"uk","AS","Самоа, Америка","Американське Самоа"
"uk","AT","Австрія","Австрія"
"uk","AU","Австралія","Австралія"
"uk","AW","Аруба","Аруба"
"uk","AX","Аландські острови","Аландські острови"
"uk","AZ","Азербайджан","Азербайджан"
"uk","BA","Боснія і Герцеговина","Боснія і Герцеговина"
"uk","BB","Барбадос","Барбадос"
"uk","BD","Бангладеш","Бангладеш"
"uk","BE","Бельгія","Бельгія"
"uk","BF","Буркіна-Фасо","Буркіна-Фасо"
"uk","BG","Болгарія","Болгарія"
"uk","BH","Бахрейн","Бахрейн"
"uk","BI","Бурунді","Бурунді"
"uk","BJ","Бенін","Бенін"
"uk","BL","Сен-Бартелемі","Сен-Бартелемі"
"uk","BM","Бермуди","Бермуди"
"uk","BN","Бруней Даруссалам","Бруней Даруссалам"
"uk","BO","Болівія","Болівія"
"uk","BQ","Бонайре, Саба","Бонайре, Сінт-Естатіус і Саба"
"uk","BR","Бразилія","Бразилія"
"uk","BS","Багами","Багами"
"uk","BT","Бутан","Бутан"
"uk","BV","Острови Буве","Острови Буве"
"uk","BW","Ботсвана","Ботсвана"
"uk","BY","Білорусь","Білорусь"
"uk","BZ","Беліз","Беліз"
"uk","CA","Канада","Канада"
"uk","CC","Кокосові острови","Кокосові (Кілінґ) Острови"
"uk","CD","Демократична республіка Конго","Демократична республіка Конго"
"uk","CF","ЦАР","Центральноафриканська республіка"
"uk","CG","Республіка Конго","Республіка Конго"
"uk","CH","Швейцарія","Швейцарія"
"uk","CI","Кот д'Івуар","Кот д'Івуар"
"uk","CK","Острови Кука","Острови Кука"
"uk","CL","Чилі","Чилі"
"uk","CM","Камерун","Камерун"
"uk","CN","Китай","Китай"
"uk","CO","Колумбія","Колумбія"
"uk","CR","Коста-Ріка","Коста-Ріка"
"uk","CV","Кабо-Верде","Кабо-Верде"
"uk","CW","Кюрасао","Кюрасао"
"uk","CX","Острів Різдва","Острів Різдва"
"uk","CY","Кіпр","Кіпр"
"uk","CZ","Чеська Республіка","Чеська Республіка"
"uk","DE","Німеччина","Німеччина"
"uk","DJ","Джибуті","Джибуті"
"uk","DK","Данія","Данія"
"uk","DM","Домініка","Домініка"
"uk","DO","Домініканська республіка","Домініканська республіка"
"uk","DZ","Алжир","Алжир"
"uk","EC","Еквадор","Еквадор"
"uk","EE","Естонія","Естонія"
"uk","EG","Єгипет","Єгипет"
"uk","EH","Західна Сахара","Західна Сахара"
"uk","ER","Еритрея","Еритрея"
"uk","ES","Іспанія","Іспанія"
"uk","ET","Ефіопія","Ефіопія"
"uk","FI","Фінляндія","Фінляндія"
"uk","FJ","Фіджі","Фіджі"
